Survived,Age,Pclass
0,29.0,1
1,25.0,1
0,2.0,3
1,36.0,1
0,45.0,1
1,24.0,1
0,25.0,3
1,19.0,1
0,64.0,1
1,39.0,1
1,40.0,1
1,60.0,1
0,19.0,1
1,48.0,1
1,38.0,1
1,39.0,1
1,40.0,1
1,35.0,1
1,32.5,2
0,47.0,1
1,36.0,1
0,36.0,1
0,62.0,1
0,29.0,3
0,45.0,1
0,40.0,1
1,56.0,1
0,19.0,1
0,50.0,1
1,36.0,1
1,6.0,3
1,22.0,1
0,39.0,1
1,33.0,1
1,48.0,1
0,50.0,1
0,50.0,1
1,32.0,1
1,29.0,2
1,51.0,1
0,38.0,1
0,52.0,1
0,42.0,3
0,46.0,1
0,45.0,1
1,23.0,1
0,25.0,1
0,37.0,1
1,34.0,2
1,54.0,1
1,53.0,1
0,61.0,1
1,15.0,1
0,21.0,1
0,44.0,1
0,18.0,1
1,27.0,1
0,31.0,1
0,2.0,1
0,36.0,1
0,45.5,1
1,17.0,1
1,42.0,1
1,18.0,1
0,37.0,1
1,58.0,1
0,19.0,3
0,57.0,2
1,36.0,1
0,58.0,1
1,24.0,1
0,33.0,1
1,40.0,1
1,32.0,1
1,43.0,1
1,35.0,1
1,51.0,1
1,52.0,1
1,27.0,2
1,37.0,1
1,24.0,1
1,39.0,1
1,23.0,2
1,38.0,1
1,31.0,1
1,58.0,1
0,70.0,1
1,14.0,1
1,30.0,1
1,52.0,1
1,48.0,1
1,36.0,2
1,24.0,1
1,16.0,1
0,65.0,1
1,28.0,1
0,29.0,1
1,30.0,1
1,11.0,1
1,36.0,1
