client_id,DIR,Age,NumLoans,NumRealEstateLoans,NumDependents,Num30-59Delinquencies,Num60-89Delinquencies,Income,BalanceToCreditLimit,Delinquent90
0,0.177772,50.5,11,0,3,2,0,5511.073207,0.898558,0
1,0.278636,65.3,9,2,2,0,0,4544.015711,0.01022,0
2,0,55.4,0,0,0,0,0,,1.005478,0
3,0.285555,53.4,12,2,1,0,0,13253.922692,1.30958,0
4,0.5928,56.5,10,6,0,0,0,12581.109054,0.045905,0
5,0.217135,48.2,4,1,0,0,0,9076.467013,0.093199,0
6,0.683476,65.4,29,8,0,4,0,18358.854353,0.434564,0
7,0.153993,76,10,1,0,0,0,4748.768535,0.014053,0
8,0.351921,42.2,10,1,4,0,0,10517.24349,0.723126,0
9,0.196866,42.2,6,0,1,2,0,3614.042793,1.013593,1
10,0.118014,29,5,0,2,0,0,5210.295616,0.82355,0
11,0.02025,79.7,8,1,0,0,0,5431.556753,0.005649,0
12,0.463217,42.1,4,1,3,1,0,2114.237036,0.408803,0
13,0.56121,47.3,12,1,0,0,1,2503.575898,0.700977,0
14,0.473718,50.2,8,2,0,0,1,5538.342463,0.740038,0
15,0.439589,45.1,11,3,2,0,0,19090.352011,0.844121,0
16,0.0698,43.1,1,0,0,0,0,2587.891251,1.003451,1
17,0.827034,63.1,22,2,1,0,0,4889.872431,0.525513,0
18,1879.11195,67.1,16,1,0,0,0,,0.002122,0
19,0.457767,26,3,0,0,0,0,1413.992557,0,0
20,0.279834,67.1,8,1,1,1,0,11054.287217,0.01174,1
21,0.36703,65.4,6,2,2,0,0,4527.544291,0.014503,0
22,0.277772,46.4,8,1,1,0,0,8985.559895,0.012679,0
23,0.021892,56.5,7,0,2,0,0,10090.252985,0.050234,0
24,0.247746,30.2,5,1,0,0,0,5164.475346,0.47174,0
25,0.661319,42,6,2,1,0,0,1970.462752,0,0
26,0.720339,65.3,19,3,0,0,0,6093.142196,0.018228,0
27,0.567697,44.1,8,2,1,0,0,8443.066819,0.753838,0
28,0.520539,39.1,9,1,0,0,0,4290.528009,0.731315,0
29,67.399453,90.4,23,1,0,0,0,,0.005344,0
30,0.09699,71.3,5,0,0,0,0,1009.979413,0.326095,0
31,0.520894,45.1,7,1,2,2,0,5980.546913,0.249449,0
32,0.065996,34.1,1,0,0,0,0,4728.324808,1.035156,0
33,0.586269,56.1,19,1,1,2,0,8575.450733,0.321166,0
34,0.201565,63.2,7,0,0,0,0,3775.768818,0.040621,0
35,0.359282,42.4,14,1,1,0,0,2807.559881,0.170613,0
36,0.139017,33.3,8,0,1,0,0,4397.433641,0.336081,0
37,1204.48455,31.1,4,1,0,1,0,,0.646329,0
38,0.127657,32.2,8,0,0,0,0,2711.082698,0.135478,0
39,0.360182,42.1,4,0,0,0,0,2007.106403,1.012354,0
40,1.830162,57,7,2,0,0,0,3862.057578,2.071956,0
41,0.347573,62,9,1,0,0,0,6539.293809,0,0
42,9.002855,76.6,5,0,,0,0,,0.018032,0
43,0.062229,65.6,14,0,0,0,0,7234.824077,0.030187,0
44,4747.286934,54.2,14,2,0,0,0,,0,0
45,0.27381,46.1,10,1,3,0,0,6720.066037,0.035983,0
46,235.584774,61.6,4,0,0,0,0,,0.046999,0
47,1.764185,60.3,14,2,0,0,0,1973.848175,0.002487,0
48,0.234186,52.4,17,2,0,0,0,9356.519989,0.043563,0
49,4165.766128,43,13,2,2,0,0,,0.581336,0
50,0.293685,68.4,6,1,0,0,0,2527.75889,0.010777,0
51,1.427723,53.1,9,2,0,0,0,3003.273486,0.142203,0
52,0.183798,61,10,1,0,0,0,10885.396024,0.036911,0
53,0.379392,47.4,11,3,1,0,0,9915.786854,0.151947,0
54,0.409562,51.4,14,4,2,0,0,8953.307912,0.158998,0
55,1112.068759,33.3,10,0,2,0,0,,0.195974,0
56,0.912492,62.5,11,1,0,0,0,4961.221554,0.848514,0
57,0,21.2,1,0,0,0,0,1.001538,1.004247,0
58,0.296494,63.1,11,1,0,0,0,5695.224043,0.10152,0
59,896.585183,34.1,4,1,0,0,2,,0.385763,0
60,6366.496779,55.1,11,1,0,0,0,,0.051316,0
61,432.527646,56.2,3,0,0,0,0,,0.040675,0
62,0.420899,43.3,8,1,3,0,0,2541.040243,0.071057,0
63,0.640481,47.2,14,2,5,3,0,3226.125001,0,0
64,0.061658,70.5,7,0,0,0,0,3926.016788,0.253984,0
65,0.021243,73.5,10,0,0,0,0,10457.999188,0.050967,0
66,0.319053,56.5,6,0,0,0,0,1811.145251,0.022185,0
67,0.401215,75.2,10,1,0,0,0,2017.770475,0.103588,0
68,0.220838,50.4,17,1,1,0,0,8400.821779,0.171622,0
69,0.083039,74.7,19,1,1,0,0,11755.454081,0.020449,0
70,2721.424813,47.3,7,2,0,0,0,,0.357635,0
71,0,81.7,4,0,0,0,0,5596.953768,0,0
72,0,52.3,1,0,0,0,0,2504.613105,1.00435,0
73,0.101597,33.2,1,0,1,0,1,6559.803948,1.008797,0
74,0.566004,56.1,18,3,1,0,0,3701.453815,0.02144,0
75,0.102629,57.3,10,1,0,0,0,7295.721172,0.044793,0
76,310.055337,40.2,3,0,0,0,0,,0.43283,0
77,0.113781,27.1,5,0,3,0,0,5339.829039,0.389947,0
78,0.02152,49.1,11,1,1,0,0,75583.729879,0.041648,0
79,0.0854,65.6,8,0,1,0,0,6672.188884,0.000265,0
80,0.723343,32.2,22,5,1,0,0,7811.552075,0.200315,0
81,0.38383,49.2,5,2,2,0,0,7025.737443,0,0
82,0.743178,46.3,17,3,1,0,0,10076.379268,0.904239,1
83,0.717133,43,9,3,3,1,0,10857.680322,0.06078,0
84,0.645014,43.3,11,2,2,0,0,7494.376426,0.695783,0
85,0.218989,61.3,4,1,0,0,0,3605.061633,1.000385,1
86,0.265984,50.4,4,1,3,0,0,14093.290668,0.287404,0
87,0.466749,37.2,6,1,2,0,0,4228.325925,0.178963,0
88,717.037325,40.2,8,0,4,0,0,0,0.202828,0
89,0.018459,24.1,4,0,0,0,0,933.284466,0.587206,0
90,0.109735,57,9,0,0,0,0,6736.213715,0.149017,1
91,0.232761,63.2,4,1,3,0,0,17341.364451,0.104347,0
92,0.534192,31.3,6,0,0,0,0,1004.601175,0,0
93,0.271883,51.4,5,1,2,0,0,5754.622175,0.104728,0
94,0.160276,64.6,7,1,0,0,0,4838.149275,0.028342,0
95,0,51.5,8,0,0,0,0,,0,0
96,0.290137,41.1,4,1,0,0,0,10426.169208,0.001815,0
97,0.92496,34.2,7,2,0,0,0,4010.557048,0.617128,0
98,0.558096,76.7,8,1,0,0,0,2669.931113,0.063399,0
99,0.000672,86.5,4,0,0,0,0,3001.908249,0.002444,0
100,0.319077,72.2,6,1,0,0,0,5434.429852,0.064117,0
101,0.313929,49.4,11,1,0,0,0,8901.903757,0.761243,1
102,0.448731,37.1,9,1,0,0,0,4103.864168,0.028266,0
103,0.07849,55.3,17,0,1,0,0,11225.458966,0.006378,0
104,0.232952,58.4,12,1,2,1,0,7841.097058,0.481475,0
105,0.3147,40.4,7,2,2,0,0,9070.822902,0.175146,0
106,0.221292,60.5,6,1,0,0,0,8832.799538,0.59613,0
107,0.153733,25,2,0,0,0,0,2328.152566,1.006542,0
108,0.000304,91.2,3,0,0,0,0,16651.358568,0.005339,0
109,2429.484643,45.1,9,1,3,0,0,,0.777987,0
110,6272.642565,62.5,19,4,0,0,0,,0.047686,0
111,0.809034,32.2,5,1,0,0,0,2010.19238,0.164677,0
112,0.706699,42.2,13,4,2,1,0,9919.31502,0.566531,0
113,1.128872,34,5,1,0,0,0,2156.015871,0.147545,0
114,0.109779,72.1,8,1,0,0,0,5463.47758,0.004097,0
115,0.425873,61.4,19,3,1,0,0,6540.156153,0.006396,0
116,0.137212,39.1,6,0,0,0,0,4286.703892,0.363167,0
117,0.054209,79.2,3,1,0,0,0,3616.757565,0.062368,0
118,0.30347,32.3,5,1,0,0,0,5593.465102,0.515074,0
119,0.103715,67.1,11,0,1,0,0,8933.699834,0.228555,0
120,0.426338,61.4,7,1,0,0,0,1912.973849,0.127817,0
121,3436.014329,34.3,3,1,2,0,0,0,1.004486,0
122,0.170034,34.1,6,0,0,0,0,8322.86722,0.709746,0
123,0.792921,37.3,9,4,0,0,0,14496.412224,0.00466,0
124,0.033037,78.5,4,0,0,0,0,2823.961754,0.141327,0
125,0.078827,70.2,4,1,0,0,0,40342.592327,0.080244,0
126,847.289422,68.3,8,1,2,0,0,,0,0
127,40.216803,32.2,0,0,1,0,0,,1.004015,1
128,0.818955,44.1,8,1,1,0,0,5506.490079,0.980065,0
129,0.927251,46.2,12,2,0,0,0,6467.96246,0.596461,0
130,1.047147,51.2,14,3,0,1,0,6674.7763,0.468486,0
131,0.032739,74.5,4,0,0,0,0,6009.868602,0.14633,0
132,0.334342,45.1,5,2,2,1,0,10877.599225,11863.722238,0
133,0.474603,47.2,2,0,1,0,0,1503.225555,1.002775,0
134,0.237915,61.1,9,1,1,0,0,6294.081112,0.719458,0
135,0.193639,62.2,6,1,1,1,0,12608.455959,0.189408,0
136,0.855046,49.4,11,1,0,0,0,5041.265859,0.487641,0
137,0.234151,65.6,6,0,0,1,0,1811.459558,0.809065,0
138,0.387684,48.2,10,2,2,0,0,10507.651014,0.073803,0
139,0.312612,30.3,4,0,0,0,0,3803.077024,0.624063,0
140,0.338666,48.3,10,2,2,1,0,13101.90655,0.136457,0
141,0,32,0,0,0,0,0,3028.968674,1.008872,0
142,0.427651,45.2,6,1,2,0,0,4514.378493,0.306866,0
143,0.788422,31,14,2,0,0,0,7187.830282,0.761377,0
144,3192.647273,63.1,5,2,0,0,0,,0.072223,0
145,0.193072,39.2,8,0,0,0,0,4895.904453,0.002334,0
146,0.371033,58.3,11,1,3,0,0,11840.452181,0.486964,0
147,0.21037,49.4,14,2,1,0,0,7368.961055,0.048319,0
148,0.017818,22,1,0,0,0,0,901.282031,1.008141,0
149,3462.345426,63.2,7,2,0,1,0,,0.638348,0
150,2313.089236,74.6,14,1,0,0,0,,0.016711,0
151,0.322821,32.2,11,2,2,0,0,16165.949714,0.413945,0
152,0.492861,55.5,13,1,0,0,0,3484.79583,0.091043,0
153,2769.544589,38.3,12,2,0,0,0,,0.953943,0
154,0.227962,53.4,14,2,1,0,0,13829.293955,0.006243,0
155,0.23257,50.2,11,2,1,2,0,8521.310751,0.191805,0
156,0.242481,36.2,23,3,0,0,0,5171.966213,0.025792,0
157,0.326726,67.2,7,0,0,0,0,4236.998256,0.527222,0
158,0.675998,48.3,20,5,0,0,0,10534.492859,0.591175,1
159,1965.685345,70.6,14,1,0,0,0,,0.029818,0
160,0.404862,41.1,6,2,0,0,0,5848.725226,0.466113,0
161,159.341666,65.4,9,0,,0,0,,0.021503,0
162,517.783369,32.3,6,0,,1,0,,0.245492,0
163,4889.893071,46.4,12,2,1,0,0,,0.902299,0
164,0.003348,59.4,2,0,0,0,0,6009.616863,0.040408,0
165,0.298114,45.3,11,1,5,0,0,5512.289322,0.019147,0
166,0.95303,35,12,5,3,0,0,8343.207898,0.011456,1
167,0.326459,41.4,5,1,2,0,0,8392.933015,1.005956,0
168,0.036899,47.2,5,0,3,0,0,6225.077792,0.008426,0
169,0.25596,49.5,8,5,0,0,0,19050.995321,0.143108,0
170,0.474526,44.4,8,1,0,0,0,2516.665911,0.084031,0
171,0.416405,28.2,8,1,0,0,0,2009.689457,0.368068,0
172,0.441667,55.2,12,2,0,0,0,7009.99082,0.001743,0
173,1.455934,58.1,11,2,1,0,0,1098.15207,0.540926,0
174,0.141733,44.2,15,1,0,2,0,9258.47718,0.738496,0
175,0.185104,43.1,4,1,5,0,0,9662.076419,0.098443,0
176,0.149287,47.2,18,0,1,0,0,5150.359876,0.081191,0
177,0.166131,74.4,3,0,0,0,0,2751.756247,0.002907,0
178,0.2567,35.3,5,1,0,0,0,5640.57821,0.024699,0
179,0.240839,59.2,9,2,1,0,0,10022.977102,0.269621,0
180,0.468023,51.3,18,3,0,0,0,8974.116157,0.282038,0
181,0.009352,74.2,21,0,1,0,0,4520.493608,0.011623,0
182,0.323944,63.3,13,2,3,0,0,14317.218631,0.006963,0
183,700.809408,41.3,4,0,0,0,0,0,0.384904,0
184,0.330382,71.1,7,1,0,0,0,5014.985608,0.258415,0
185,0.054938,47.1,13,0,0,0,0,12589.122964,0.172423,0
186,2233.666105,80.8,10,3,0,1,0,,0.005161,0
187,0.186435,39.1,15,0,2,1,0,9962.813387,0.598001,1
188,2151.261979,43,8,4,3,0,0,,0.004432,0
189,0.660314,73.2,7,1,0,0,0,2608.049061,0.320887,0
190,0.197682,77.2,13,1,0,0,0,3609.458865,0.01429,0
191,0.260293,32.1,5,0,4,0,0,5048.754452,0.853264,0
192,0.80421,63.6,12,3,4,1,0,5048.467533,0.553701,0
193,0.548863,54.2,11,1,0,1,0,4404.632399,0.079062,0
194,0.214621,44.1,8,1,1,0,0,5839.296304,0.021727,0
195,0,91.1,3,0,0,1,0,4213.946002,0.000717,0
196,0.182089,50,14,1,0,0,0,9813.528153,0,0
197,0.343951,55.3,13,1,0,3,1,9407.952612,0.859735,0
198,0.399841,39.3,6,2,1,1,0,7041.241085,0,0
199,0.327401,50.3,6,1,2,1,0,9070.364339,0.836371,0
200,0.402251,60.3,2,1,0,3,1,6218.259007,1.0039,0
201,0.293457,55.5,9,4,0,0,0,22683.782431,0,0
202,2551.063379,58.2,8,1,0,0,0,,0.079548,0
203,0.290111,43,9,0,0,0,0,3220.491884,0.055708,0
204,0.347438,52.2,10,4,3,0,0,14689.402115,0.115946,0
205,0.338485,56.3,17,5,2,0,0,36189.007383,0.139263,0
206,0.090614,25.2,4,0,0,1,0,5015.187941,0,0
207,0.303727,55.1,2,1,2,1,1,7978.283437,1.007878,1
