<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
USDRUB,D,20130101,0,30.57
USDRUB,D,20130102,0,30.18
USDRUB,D,20130103,0,30.25
USDRUB,D,20130104,0,30.32
USDRUB,D,20130105,0,30.38
USDRUB,D,20130106,0,30.32
USDRUB,D,20130107,0,30.33
USDRUB,D,20130108,0,30.29
USDRUB,D,20130109,0,30.36
USDRUB,D,20130110,0,30.22
USDRUB,D,20130111,0,30.33
USDRUB,D,20130112,0,30.33
USDRUB,D,20130113,0,30.3
USDRUB,D,20130114,0,30.27
USDRUB,D,20130115,0,30.33
USDRUB,D,20130116,0,30.29
USDRUB,D,20130117,0,30.17
USDRUB,D,20130118,0,30.26
USDRUB,D,20130119,0,30.28
USDRUB,D,20130120,0,30.27
USDRUB,D,20130121,0,30.25
USDRUB,D,20130122,0,30.21
USDRUB,D,20130123,0,30.15
USDRUB,D,20130124,0,30.07
USDRUB,D,20130125,0,30.03
USDRUB,D,20130126,0,30.04
USDRUB,D,20130127,0,30.03
USDRUB,D,20130128,0,30.18
USDRUB,D,20130129,0,30.04
USDRUB,D,20130130,0,30.02
USDRUB,D,20130131,0,30
USDRUB,D,20130201,0,29.85
USDRUB,D,20130202,0,29.85
USDRUB,D,20130203,0,29.86
USDRUB,D,20130204,0,30.06
USDRUB,D,20130205,0,29.95
USDRUB,D,20130206,0,30.05
USDRUB,D,20130207,0,30.19
USDRUB,D,20130208,0,30.15
USDRUB,D,20130209,0,30.15
USDRUB,D,20130210,0,30.16
USDRUB,D,20130211,0,30.15
USDRUB,D,20130212,0,30.03
USDRUB,D,20130213,0,30.05
USDRUB,D,20130214,0,30.11
USDRUB,D,20130215,0,30.11
USDRUB,D,20130216,0,30.12
USDRUB,D,20130217,0,30.14
USDRUB,D,20130218,0,30.13
USDRUB,D,20130219,0,30.07
USDRUB,D,20130220,0,30.18
USDRUB,D,20130221,0,30.48
USDRUB,D,20130222,0,30.38
USDRUB,D,20130223,0,30.45
USDRUB,D,20130224,0,30.39
USDRUB,D,20130225,0,30.42
USDRUB,D,20130226,0,30.61
USDRUB,D,20130227,0,30.52
USDRUB,D,20130228,0,30.61
USDRUB,D,20130301,0,30.69
USDRUB,D,20130302,0,30.74
USDRUB,D,20130303,0,30.69
USDRUB,D,20130304,0,30.77
USDRUB,D,20130305,0,30.62
USDRUB,D,20130306,0,30.72
USDRUB,D,20130307,0,30.69
USDRUB,D,20130308,0,30.79
USDRUB,D,20130309,0,30.78
USDRUB,D,20130310,0,30.77
USDRUB,D,20130311,0,30.7
USDRUB,D,20130312,0,30.69
USDRUB,D,20130313,0,30.79
USDRUB,D,20130314,0,30.71
USDRUB,D,20130315,0,30.65
USDRUB,D,20130316,0,30.62
USDRUB,D,20130317,0,30.68
USDRUB,D,20130318,0,30.81
USDRUB,D,20130319,0,30.96
USDRUB,D,20130320,0,30.86
USDRUB,D,20130321,0,30.92
USDRUB,D,20130322,0,30.83
USDRUB,D,20130323,0,30.81
USDRUB,D,20130324,0,30.84
USDRUB,D,20130325,0,30.89
USDRUB,D,20130326,0,30.85
USDRUB,D,20130327,0,31.03
USDRUB,D,20130328,0,31.08
USDRUB,D,20130329,0,31.06
USDRUB,D,20130330,0,31.05
USDRUB,D,20130401,0,31.07
USDRUB,D,20130402,0,31.31
USDRUB,D,20130403,0,31.64
USDRUB,D,20130404,0,31.58
USDRUB,D,20130405,0,31.51
USDRUB,D,20130406,0,31.51
USDRUB,D,20130407,0,31.49
USDRUB,D,20130408,0,31.21
USDRUB,D,20130409,0,31.01
USDRUB,D,20130410,0,30.86
USDRUB,D,20130411,0,30.87
USDRUB,D,20130412,0,31.06
USDRUB,D,20130413,0,31.06
USDRUB,D,20130414,0,31.05
USDRUB,D,20130415,0,31.47
USDRUB,D,20130416,0,31.23
USDRUB,D,20130417,0,31.88
USDRUB,D,20130418,0,31.56
USDRUB,D,20130419,0,31.65
USDRUB,D,20130420,0,31.71
USDRUB,D,20130421,0,31.72
USDRUB,D,20130422,0,31.56
USDRUB,D,20130423,0,31.63
USDRUB,D,20130424,0,31.46
USDRUB,D,20130425,0,31.14
USDRUB,D,20130426,0,31.26
USDRUB,D,20130427,0,31.27
USDRUB,D,20130428,0,31.3
USDRUB,D,20130429,0,30.92
USDRUB,D,20130430,0,31.14
USDRUB,D,20130501,0,31.33
USDRUB,D,20130502,0,31.17
USDRUB,D,20130503,0,31.13
USDRUB,D,20130504,0,31.08
USDRUB,D,20130506,0,31.02
USDRUB,D,20130507,0,31.07
