id,auto_number,auto_brand,compensated,too_much
269,Y418EX197RUS,Volkswagen Passat,900,1
801,8601XX154RUS,Skoda Octavia,3900,0
467,M301CH161RUS,Ford Focus,8000,0
806,Y344E877RUS,Ford Focus,1000,0
32,X286TC36RUS,Ford Focus,500,0
673,T686EO197RUS,Toyota Camry,1000,1
125,H387TM197RUS,Volkswagen Passat,1600,1
357,8164XX154RUS,Ford Focus,4400,1
164,E160YX77RUS,Ford Focus,2200,1
802,H259HY161RUS,Toyota Corolla,900,0
686,9470EX178RUS,Ford Focus,500,0
165,82337X197RUS,Ford Focus,2100,1
104,7784KT197RUS,Ford Focus,6600,1
337,H214X836RUS,Ford Focus,8000,1
260,O22397197RUS,Ford Focus,55500,1
721,H427YH197RUS,Volkswagen Passat,9900,0
62,H963HY161RUS,Ford Focus,2800,1
71,Y973O8197RUS,Ford Focus,34800,1
650,O39897197RUS,Ford Focus,3800,1
81,E42377152RUS,Ford Focus,3000,0
567,O50699163RUS,Ford Focus,1100,0
416,H977HY161RUS,Ford Focus,600,0
693,Y780EE197RUS,Volkswagen Golf,4600,1
613,9502XX38RUS,Skoda Octavia,3000,0
255,C477M7161RUS,Ford Focus,5000,1
15,X786CO96RUS,Ford Focus,1000,0
204,X242EC197RUS,Volkswagen Golf,10600,1
379,Y7449Y50RUS,Ford Focus,8000,1
689,9762HY161RUS,Ford Focus,2600,1
697,7065C8197RUS,Volkswagen Passat,3800,0
705,9409H7178RUS,Skoda Octavia,3000,0
562,X758HY197RUS,Ford Focus,145200,1
790,9499KX178RUS,Ford Focus,4600,0
385,Y7659C197RUS,Ford Focus,1500,0
679,7831C8197RUS,Ford Focus,6800,1
405,8818C877RUS,Volkswagen Passat,10000,1
436,C583EY154RUS,Ford Focus,1000,0
773,M373CH197RUS,Ford Focus,6600,1
162,7826C8197RUS,Ford Focus,3600,1
197,98017H178RUS,Ford Focus,1500,0
381,O017KO197RUS,Ford Focus,800,1
99,99209X178RUS,Skoda Octavia,500,0
88,8311XX154RUS,Ford Focus,8600,1
652,C299K9154RUS,Ford Focus,500,0
492,X782CO96RUS,Ford Focus,1000,0
628,Y655E8750RUS,Skoda Octavia,2600,0
668,T242H8197RUS,Skoda Octavia,23400,1
339,E28977161RUS,Ford Focus,1500,1
333,7844C8197RUS,Ford Focus,34000,1
325,9679EC178RUS,Ford Focus,500,0
569,E53677152RUS,Ford Focus,5500,1
386,9499KX178RUS,Ford Focus,2300,0
194,O83597197RUS,Ford Focus,4000,1
786,K326T8197RUS,Volkswagen Passat,100,0
83,T6418M116RUS,Ford Focus,24600,1
411,9498KX178RUS,Ford Focus,800,1
667,7183TT36RUS,Ford Focus,5400,1
676,9020YC197RUS,Skoda Octavia,72500,1
257,O017KO197RUS,Ford Focus,1600,1
338,Y4298M777RUS,Skoda Octavia,2000,0
626,T535ET96RUS,Ford Focus,3000,1
731,9409H7178RUS,Skoda Octavia,6000,0
55,934497178RUS,Skoda Octavia,1900,1
744,Y969O8197RUS,Ford Focus,7800,1
315,704687163RUS,Ford Focus,1400,1
574,Y687HM197RUS,BMW,600,0
16,C477M7161RUS,Ford Focus,2500,0
563,X795O796RUS,Ford Focus,1000,0
810,O421OT161RUS,Skoda Octavia,1200,0
506,97998K152RUS,Ford Focus,6300,1
426,M0269X197RUS,Ford Focus,10300,1
14,K330T8197RUS,Skoda Octavia,8200,1
556,89557X197RUS,Toyota Camry,22400,1
730,9890HX152RUS,Ford Focus,9200,1
47,E42277152RUS,Ford Focus,10600,1
791,Y358O8197RUS,Ford Focus,21800,1
54,C420X938RUS,Ford Focus,3300,0
141,H957HY161RUS,Ford Focus,2000,0
