UniqueID,disbursed_amount,asset_cost,ltv,branch_id,supplier_id,manufacturer_id,Current_pincode_ID,Date.of.Birth,Employment.Type,DisbursalDate,State_ID,Employee_code_ID,MobileNo_Avl_Flag,Aadhar_flag,PAN_flag,VoterID_flag,Driving_flag,Passport_flag,PERFORM_CNS.SCORE,PERFORM_CNS.SCORE.DESCRIPTION,PRI.NO.OF.ACCTS,PRI.ACTIVE.ACCTS,PRI.OVERDUE.ACCTS,PRI.CURRENT.BALANCE,PRI.SANCTIONED.AMOUNT,PRI.DISBURSED.AMOUNT,SEC.NO.OF.ACCTS,SEC.ACTIVE.ACCTS,SEC.OVERDUE.ACCTS,SEC.CURRENT.BALANCE,SEC.SANCTIONED.AMOUNT,SEC.DISBURSED.AMOUNT,PRIMARY.INSTAL.AMT,SEC.INSTAL.AMT,NEW.ACCTS.IN.LAST.SIX.MONTHS,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,AVERAGE.ACCT.AGE,CREDIT.HISTORY.LENGTH,NO.OF_INQUIRIES,loan_default
750296,42996,69150,63.6,18,22708,86,2728,31-12-88,Salaried,04-08-18,4,1709,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
652580,37941,45536,84.68,5,13942,51,3425,01-01-78,Self employed,21-09-18,9,487,1,1,0,0,0,0,763,B-Very Low Risk,5,3,0,43987,75000,75000,0,0,0,0,0,0,6298,0,1,0,0yrs 10mon,1yrs 5mon,0,0
697940,48651,65138,76.76,61,15897,45,1377,01-01-64,Salaried,12-10-18,6,316,1,1,0,0,0,0,845,A-Very Low Risk,2,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0yrs 8mon,1yrs 1mon,0,0
703152,60215,72684,83.88,136,17783,86,3708,10-08-98,,20-10-18,8,1295,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
603556,59615,72086,84.89,19,16938,86,1853,30-01-85,Self employed,14-10-18,4,977,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
592147,41076,56318,78.06,3,18125,45,91,02-01-92,Salaried,22-08-18,1,1838,1,1,0,0,1,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
642387,49580,69181,73.73,20,18703,86,6237,01-01-74,Self employed,27-10-18,5,1771,1,1,0,0,0,0,15,Not Scored: Sufficient History Not Available,1,1,0,755464,508657,508657,0,0,0,0,0,0,0,0,1,0,0yrs 1mon,0yrs 1mon,0,0
550594,64871,82545,79.93,138,16792,51,3363,15-08-92,Salaried,31-10-18,9,2822,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
761555,48851,70412,71.01,159,23266,86,7215,01-01-65,Self employed,30-09-18,7,1731,1,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,1,0
617936,54015,64220,87.23,34,15217,86,975,08-11-57,Self employed,17-08-18,6,180,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
